,Rank,isIP,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,Domain_http,LongURL,TinyURL,Label
50,0,0,1,0,0,0,0,1,0,0,0,0
51,1,0,0,1,0,0,0,0,0,1,0,1
52,0,0,1,0,0,0,0,0,0,0,0,0
53,1,0,0,1,0,0,0,0,0,1,0,1
54,0,0,1,0,0,0,0,1,0,0,0,0
55,1,0,0,1,0,0,0,1,0,1,0,1
56,0,0,1,0,0,0,0,1,0,1,0,1
57,1,0,1,0,0,0,0,1,0,0,0,1
58,1,0,1,0,0,0,0,1,0,0,0,0
59,1,0,0,1,0,0,0,1,0,1,0,1
60,1,0,1,0,0,0,0,0,0,0,0,0
61,1,0,1,0,0,0,0,0,0,0,0,0
62,1,0,1,0,0,0,0,1,0,1,0,1
63,1,0,0,1,0,0,0,1,0,1,0,1
64,1,0,1,0,0,0,0,1,0,0,0,0
65,1,0,1,0,0,0,0,0,0,0,0,0
66,0,0,1,0,0,0,0,0,0,0,0,1
67,0,0,1,0,0,0,0,1,0,1,1,0
68,1,0,0,1,0,0,0,0,0,0,0,0
69,0,0,1,0,0,0,0,1,0,0,0,0
70,1,0,0,1,0,0,1,1,0,0,0,1
71,1,0,1,0,0,0,0,1,0,0,0,0
72,1,0,0,1,0,0,0,1,0,0,0,1
73,1,0,0,1,0,0,1,1,0,0,0,1
74,1,0,0,1,0,0,0,1,0,1,0,1
75,1,0,1,0,0,0,0,1,0,0,0,0
76,1,0,1,0,0,0,0,1,0,1,0,1
77,1,0,0,1,0,0,0,1,0,0,0,1
78,1,0,0,1,0,0,1,1,0,1,0,1
79,1,0,0,1,0,0,0,1,0,0,0,1
80,1,0,0,1,0,0,0,1,0,0,0,0
81,1,0,0,1,0,0,1,0,0,1,0,1
82,0,0,1,0,0,0,0,0,0,1,0,0
83,1,0,1,0,0,0,0,0,0,0,0,0
84,1,0,1,0,0,0,0,0,0,0,0,0
85,1,0,0,1,0,0,0,1,0,0,0,0
86,1,0,1,0,0,0,0,0,0,0,1,1
87,1,0,0,1,0,0,0,1,0,1,0,1
88,1,0,1,0,0,0,1,0,0,0,0,0
89,0,0,1,0,0,0,1,1,0,1,0,1
90,0,0,1,0,0,0,0,0,0,0,0,0
91,1,0,0,1,0,0,0,0,0,1,0,1
92,1,0,1,0,0,0,0,0,0,0,0,0
93,0,0,1,0,0,0,0,1,0,0,0,0
94,0,0,1,0,0,0,0,0,0,0,0,0
95,1,0,1,0,0,0,1,0,0,0,0,0
96,0,0,1,0,0,0,0,0,0,0,0,0
97,0,0,1,0,0,0,0,1,0,1,0,0
98,0,0,1,0,0,0,0,0,0,0,0,1
99,1,0,0,1,0,0,0,0,0,1,0,1
100,0,0,0,1,0,0,0,0,0,0,0,0
101,0,0,1,0,0,0,0,1,0,0,0,0
102,0,0,1,0,0,0,1,1,0,1,0,1
103,0,0,0,1,0,0,0,1,0,1,0,0
104,0,0,1,0,0,0,1,1,0,1,0,1
105,0,0,1,0,0,0,0,1,0,0,0,1
106,1,0,0,1,0,0,0,1,0,1,0,1
107,0,0,0,1,0,0,0,1,0,0,0,0
108,0,0,1,0,0,0,1,0,0,0,0,0
109,1,0,1,0,0,0,0,1,0,1,0,1
110,1,0,0,1,0,0,0,0,0,0,1,0
111,1,0,0,1,0,0,0,0,0,1,0,1
112,1,0,0,1,0,0,0,1,0,1,0,1
113,1,0,0,1,0,0,0,0,0,0,0,0
114,0,0,1,0,0,0,0,0,0,0,0,0
115,0,0,0,1,0,0,0,1,0,1,0,0
116,1,0,1,0,0,0,0,1,0,0,0,1
117,1,0,1,0,0,0,0,1,0,0,0,1
118,1,0,0,1,0,0,1,1,0,1,0,1
119,1,0,1,0,0,0,0,1,0,0,1,0
120,1,0,0,1,0,0,0,0,0,0,0,1
121,1,0,0,1,0,0,0,0,0,0,0,0
122,0,0,1,0,0,0,0,1,0,0,1,0
123,0,0,1,0,0,0,0,0,0,1,0,0
124,1,0,0,1,0,0,0,1,0,1,0,1
125,1,0,1,0,0,0,0,0,0,0,0,1
126,1,0,1,0,0,0,0,1,0,1,0,1
127,0,0,0,1,0,0,0,1,0,0,0,0
128,1,0,1,0,0,1,0,0,0,1,0,1
